"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ASF1B|55723",-0.704461231674845,8.5631030959085,-5.90884499639868,4.59903254009181e-09,1.19382646481196e-06,10.3266691819147
"UHRF1|29128",-0.840749057760849,8.07354654819414,-5.90833976974832,4.61271763591212e-09,1.19382646481196e-06,10.3238653323881
"TMEM22|80723",0.586333968365183,5.69765373458882,5.90588429962599,4.67979615853932e-09,1.19382646481196e-06,10.3102414389536
"ADRA1A|148",0.854653873512034,1.59021425643155,5.90451854290348,4.71751628475954e-09,1.19382646481196e-06,10.3026659893483
"SLC7A10|56301",1.28061871880226,2.95094578320257,5.90142231436612,4.80412983692613e-09,1.20073590800703e-06,10.2854981973469
"HEPN1|641654",1.15728922154865,2.17108004541906,5.8802038142825,5.44081105907603e-09,1.34328316940237e-06,10.1680739656033
"KIAA1211|57482",-0.864733907444325,6.79172905870324,-5.87539474164292,5.59615257965343e-09,1.36498926476004e-06,10.1415153856725
"TMEM88|92162",0.653329165819836,4.78050489473172,5.87186130584259,5.71303378066556e-09,1.37690915344731e-06,10.1220146091621
"MYH1|4619",0.835539813048468,1.16853630524357,5.869516924697,5.79189142668019e-09,1.37949225803695e-06,10.1090822042413
"SOX7|83595",0.61663587451792,6.93370826572187,5.86526892004211,5.93749091768712e-09,1.38205729953315e-06,10.0856610907688
"EPR1|8475",-0.972945381664463,7.86099469030446,-5.8652198302216,5.93919412493872e-09,1.38205729953315e-06,10.0853905299109
"HPD|3242",0.88612382584864,1.39964387294137,5.85839473352674,6.18068708403527e-09,1.40827342482391e-06,10.0477943441494
"TRPM3|80036",0.570728005026898,0.927854660615842,5.85810971421326,6.19097726892209e-09,1.40827342482391e-06,10.0462252016747
"CDC45|8318",-0.898698021485135,6.83703815296181,-5.84996758216926,6.49208652628082e-09,1.43562164865174e-06,10.0014298059913
"FHL1|2273",1.01418136480607,9.36114847388043,5.84872794468492,6.5391640045501e-09,1.43562164865174e-06,9.99461484079853
"ADH1C|126",1.31845608078096,3.64924163361132,5.84727270520809,6.59485370830386e-09,1.43562164865174e-06,9.98661632095929
"PDE2A|5138",0.810160664127552,7.16197737026591,5.84293341623072,6.7636676017108e-09,1.4567069212408e-06,9.96277710350355
"PKMYT1|9088",-0.986061888127032,7.82244620845856,-5.83762471805676,6.97592522170602e-09,1.48660638014146e-06,9.93363470369645
"PAMR1|25891",0.950658553245923,6.57391689515026,5.83366816527887,7.13832503861615e-09,1.50536865007067e-06,9.91193113559161
"HHATL|57467",0.663262279669217,0.757263799804824,5.82678239674965,7.42977833722377e-09,1.55067899419686e-06,9.87419233240804
"NPR1|4881",0.827352413345283,7.4125804731161,5.8231942007008,7.58621532483304e-09,1.56717274746168e-06,9.85454308672365
"ESCO2|157570",-0.733665422906041,6.49284704788084,-5.81248841040393,8.07226448723873e-09,1.65073731862776e-06,9.79598479853486
"MYOM1|8736",0.885154175842714,5.25182003276169,5.80953201529863,8.21174433765072e-09,1.66246764115739e-06,9.77983178671178
"NPY2R|4887",1.36134913660605,1.89072377240214,5.80069322224347,8.64289016763148e-09,1.6944280774485e-06,9.73158479102507
"LOC286367|286367",0.657013582695667,5.01266717538,5.80047162193531,8.65397791439905e-09,1.6944280774485e-06,9.73037606030903
"KIAA0101|9768",-0.788501346729476,7.80902250640864,-5.79791515421058,8.78289609812944e-09,1.6944280774485e-06,9.71643480388162
"HIF3A|64344",1.19406478506552,3.37632286351705,5.79781286126918,8.78809326411918e-09,1.6944280774485e-06,9.7158770869377
"HPSE2|60495",0.962825434679824,1.75536355053341,5.7794615509643,9.77055961967607e-09,1.86608471226738e-06,9.61597234880277
"KIF4A|24137",-0.932207476456238,8.28456165197531,-5.77452045107831,1.00528566304722e-08,1.90205684564402e-06,9.58912374796967
"MAP1LC3C|440738",0.917122494644927,2.60590608881663,5.76912735919701,1.03700386239157e-08,1.94333774715002e-06,9.55984375378627
"HAS3|3038",0.926490152652964,6.35157041768594,5.76757681637582,1.04630187423735e-08,1.94333774715002e-06,9.55143035303042
"DEPDC1|55635",-0.846016191940336,7.27327013546671,-5.76484415814385,1.06288646203882e-08,1.95619422036145e-06,9.53660784489913
"KLF4|9314",0.724479140644624,8.97667885263994,5.74491138000273,1.19184258038591e-08,2.17377054413628e-06,9.42868788334217
"NUSAP1|51203",-0.725127618334365,9.20101030744877,-5.74200112476298,1.2119009988481e-08,2.19061926086427e-06,9.41296056835115
"HMMR|3161",-0.78399813975041,7.55526841706163,-5.72484464059573,1.33699736665192e-08,2.34257315985617e-06,9.32039738178796
"HSPB7|27129",1.07346530962257,5.69902643787679,5.72415892804461,1.34224987178719e-08,2.34257315985617e-06,9.31670321440824
"GLP2R|9340",0.553039059027585,0.58952207953626,5.71437765209812,1.41939519527599e-08,2.43522506172563e-06,9.26405342882217
"C13orf36|400120",0.636308002497836,0.88869459815869,5.7098472842331,1.45657176698504e-08,2.46442935647441e-06,9.23969644871353
"HSD17B6|8630",-0.680509622592476,6.06839923969199,-5.69551026849374,1.58057155174505e-08,2.6445182698412e-06,9.16273490278289
"CSF3|1440",0.853312471441741,1.18254135195465,5.69183217998784,1.61400242065331e-08,2.64629268374061e-06,9.14302013815565
"SIAH2|6478",-0.532568515027707,10.6774840628613,-5.69177132093839,1.61456132334189e-08,2.64629268374061e-06,9.14269403090992
"CPA2|1358",0.548850856041757,0.779014944989189,5.69108837723672,1.62084609920393e-08,2.64629268374061e-06,9.13903476898222
"FAM107A|11170",1.05954143535535,6.59832195903573,5.68802949040125,1.64928859393163e-08,2.67118780673166e-06,9.12265009889759
"CLEC4GP1|440508",0.628909746847216,0.967966752403956,5.68336065996781,1.69363894015702e-08,2.72124764630784e-06,9.09765787684256
"NMUR1|10316",0.817559613045237,3.36105252206012,5.68052619201166,1.72112774941087e-08,2.74364025880496e-06,9.0824944046287
"TIMP4|7079",1.33531877320143,5.20819531672716,5.6756774217628,1.76916047156367e-08,2.77876568824038e-06,9.05657157676967
"C18orf34|374864",0.87401564655732,2.87206749375006,5.67553271096305,1.77061384926159e-08,2.77876568824038e-06,9.055798234041
"HJURP|55355",-0.822596155089072,7.51544412287317,-5.66395751296768,1.89070571345039e-08,2.92193413502314e-06,8.99399981785874
"TMEM220|388335",0.632062975741712,5.74217470009516,5.6612259310924,1.92018029572898e-08,2.94500379447221e-06,8.97943358735549
"EMP1|2012",0.568743336436678,11.5851375088609,5.64931579853126,2.05399896178982e-08,3.10322455085335e-06,8.91599978736659
"LRRC3B|116135",0.794712551421668,1.43593139979878,5.64326455004647,2.12541932555218e-08,3.18063845410563e-06,8.88381879917119
"LEF1|51176",-0.661185275502713,8.29757751633628,-5.62321084089703,2.37978428673503e-08,3.4838555682482e-06,8.77740384823772
"ASPM|259266",-0.887195226864331,8.46543132171606,-5.6213915212012,2.40427276677074e-08,3.4838555682482e-06,8.76776728641687
"G0S2|50486",1.11508296685428,7.12071248442724,5.62102864612035,2.40918636480488e-08,3.4838555682482e-06,8.76584556319231
"TPX2|22974",-0.790644530715839,9.87951256986134,-5.61936108038066,2.43189220296687e-08,3.48541729289526e-06,8.75701592791051
"LPL|4023",1.10440908387312,9.09114462082806,5.61842720405058,2.44469871865214e-08,3.48541729289526e-06,8.75207220096519
"AOC3|8639",0.858851834236716,9.43509504661417,5.60853873253283,2.58438730053027e-08,3.62485712916603e-06,8.69977239670339
"GPR109A|338442",0.81749616422853,5.60146010825188,5.60845261299744,2.5856372878719e-08,3.62485712916603e-06,8.69931729455607
"EPAS1|2034",0.515294858585815,11.5128222631751,5.60772527431503,2.59621775119326e-08,3.62485712916603e-06,8.69547390668456
"FAM180B|399888",0.85412432558427,1.89691131324178,5.59783065033584,2.7444002650935e-08,3.77961791611007e-06,8.64323560115138
"CCL11|6356",-0.879290243631288,3.70067117521626,-5.5913306142865,2.84618378043288e-08,3.89331017803132e-06,8.60896621743221
"BIRC5|332",-0.929441868758939,7.90803286813543,-5.58791315801749,2.90115900837903e-08,3.94187678688815e-06,8.59096381302079
"CAV1|857",0.732631593083081,10.5899524626453,5.58622787308956,2.9286479668531e-08,3.94894823812751e-06,8.58208992421508
"HLF|3131",0.998632889689768,6.77943323938079,5.58197488904388,2.99914898675952e-08,3.94894823812751e-06,8.55970700273896
"SSTR1|6751",0.859205233090571,2.95468400227615,5.5818978793664,3.00044064008301e-08,3.94894823812751e-06,8.55930185860435
"KCNB1|3745",1.00520026389615,3.17164701137778,5.58169223626678,3.00389246071443e-08,3.94894823812751e-06,8.55822000617102
"PAFAH1B3|5050",-0.567588774782678,9.90675437646158,-5.57639449021879,3.09415957293372e-08,4.017058116259e-06,8.53036244322762
"C14orf139|79686",0.704698801344325,6.58061558981773,5.57632350177063,3.09538684186912e-08,4.017058116259e-06,8.52998932831761
"METTL7A|25840",0.503894075934213,10.3571318197106,5.57339374863462,3.14645183124394e-08,4.04025305091219e-06,8.51459446785352
"PRRT4|401399",0.972832666638829,3.23743889230243,5.57301154916306,3.15317353442394e-08,4.04025305091219e-06,8.51258670158409
"BCHE|590",0.965322710807172,3.95891218018688,5.56817386965629,3.23946840242865e-08,4.12471935894138e-06,8.48718467664644
"HEPACAM|220296",1.14247930256035,2.28017255939887,5.55979637966048,3.39436258668984e-08,4.24374543593833e-06,8.44324477640346
"ANGPTL7|10218",1.16247180714401,2.06952809513687,5.55747204343194,3.43859759350131e-08,4.24374543593833e-06,8.4310647006383
"SIK2|23235",0.505315162910755,9.23564702254726,5.55657175971254,3.45588111615541e-08,4.24374543593833e-06,8.426348290123
"C14orf180|400258",1.32855341181538,2.75456987783925,5.55545315590495,3.4774734962402e-08,4.24374543593833e-06,8.42048914743642
"IQGAP3|128239",-0.857635511269355,8.71729876741655,-5.55433519061275,3.4991844478613e-08,4.24374543593833e-06,8.41463446101912
"PBK|55872",-0.824954020681002,7.4442474108621,-5.55357207341263,3.51407977118392e-08,4.24374543593833e-06,8.41063872130937
"CD36|948",1.21957022869714,9.69321165073611,5.55327070367095,3.51997916918465e-08,4.24374543593833e-06,8.40906086906749
"MGLL|11343",0.652509234511951,10.4838240109204,5.54931735927476,3.59826337816853e-08,4.31046402905455e-06,8.38837020818399
"NRXN1|9378",1.08684858014594,3.28837746236003,5.54693602108016,3.64623195145681e-08,4.34223328572018e-06,8.3759136815914
"KCNJ16|3773",1.15399841715631,2.45295816557548,5.54550015693171,3.67545485121776e-08,4.35143762940957e-06,8.36840526678381
"CA3|761",1.17953151172496,4.27208412176959,5.54075283070003,3.77370129621371e-08,4.44177806638643e-06,8.34359362463684
"AQP7|364",1.44246990678561,4.42227201392279,5.53875244689798,3.81585893886838e-08,4.46543723799944e-06,8.33314473194225
"BUB1|699",-0.80671952285777,8.22674897804565,-5.53724251308549,3.84798299856628e-08,4.47715033367668e-06,8.32526003525774
