"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"HJURP|55355",-1.23596696795118,7.51574437080845,-7.39121253205909,3.95306710157183e-13,3.07807090274314e-10,19.278689311867
"LOC729467|729467",0.689128302303724,0.36069912939039,7.3691837546335,4.61157402308091e-13,3.45782652212122e-10,19.1307678971658
"APOB|338",1.89577873525306,2.38400814782947,7.35850496458099,4.96852710926796e-13,3.5924225473975e-10,19.0591972814191
"CDC6|990",-1.16231872540721,8.38711924419504,-7.34089916062647,5.61725386289368e-13,3.8643424714036e-10,18.9413958479959
"HSD17B13|345275",1.69983544834174,2.28084609232319,7.3381360023148,5.72636572695027e-13,3.8643424714036e-10,18.9229294426292
"KIF2C|11004",-1.22245869502134,8.3190505023398,-7.32610069259808,6.22644407536396e-13,4.06626968728205e-10,18.8425663184384
"BMP8A|353500",-1.07135964102568,7.59835518478192,-7.30801459856291,7.05973647924696e-13,4.35016158820425e-10,18.7220140654183
"NUSAP1|51203",-1.11988844172475,9.28458209275966,-7.30737962949139,7.09090305807558e-13,4.35016158820425e-10,18.7177863651325
"ASPM|259266",-1.36946715429205,8.61030039619031,-7.28465793824681,8.2997949201839e-13,4.91914624044126e-10,18.5667110462678
"HMMR|3161",-1.21877370300275,7.64278307452021,-7.28113881398837,8.50432790394883e-13,4.91914624044126e-10,18.5433488628351
"FOXM1|2305",-1.22743301390301,9.27886431447395,-7.26310813450578,9.63260130443153e-13,5.41700037245045e-10,18.4238025717121
"RRM2|6241",-1.27664763235069,9.36249615059234,-7.2457473040762,1.08575472453629e-12,5.94083902655059e-10,18.308939326353
"VWCE|220001",1.0251027822927,3.10495282522882,7.22278703460267,1.27153604503064e-12,6.77427558727507e-10,18.1573937171756
"CKAP2L|150468",-1.19634046264235,6.92728157683207,-7.20596241326761,1.42718212587671e-12,7.40853900983951e-10,18.0466095455091
"CENPM|79019",-1.10640850624069,6.64529587593907,-7.19669454086216,1.52076945063614e-12,7.52772820927385e-10,17.9856793807373
"TOP2A|7153",-1.38197090902329,10.8881990613014,-7.19633596806215,1.52450904707448e-12,7.52772820927385e-10,17.9833233642122
"POC1A|25886",-0.728214986115227,7.5125112975453,-7.17150100992483,1.80674688999801e-12,8.22869290096962e-10,17.8203916748369
"LOC286367|286367",1.01405547892712,4.91655201008003,7.16925027981053,1.83472995155835e-12,8.22869290096962e-10,17.8056496986563
"E2F8|79733",-1.29980101553899,6.16741568663154,-7.16872658847952,1.84130179003398e-12,8.22869290096962e-10,17.8022201667082
"CLSPN|63967",-1.21892572884636,6.49657319238392,-7.16728371395724,1.85952845570349e-12,8.22869290096962e-10,17.7927722423334
"LHCGR|3973",1.07549538688945,0.726748318826222,7.16263069622241,1.91952274342817e-12,8.22869290096962e-10,17.7623155688564
"GTSE1|51512",-1.06971638630507,7.21299848535132,-7.16105332363329,1.94028944872619e-12,8.22869290096962e-10,17.7519946503859
"PKMYT1|9088",-1.47321602035041,7.55633276965908,-7.16024725766989,1.95098670904688e-12,8.22869290096962e-10,17.7467212348794
"EPB42|2038",1.33040032830707,1.08304751570315,7.11229685885076,2.70329042486959e-12,1.06904743980998e-09,17.4339485583431
"BUB1B|701",-1.13782483806864,8.15605676356944,-7.11063385849981,2.7339508220076e-12,1.06904743980998e-09,17.4231338127054
"C6orf129|154467",-0.660950981138394,7.9454263410558,-7.11040781719769,2.73814459199429e-12,1.06904743980998e-09,17.4216640011289
"GLYAT|10249",2.09607320751296,2.22159555242119,7.10999144010919,2.74588623710145e-12,1.06904743980998e-09,17.4189566558565
"ESPL1|9700",-1.11506593801137,7.7949152176839,-7.09481591172567,3.04320372423591e-12,1.15470912270523e-09,17.3203771361603
"PBK|55872",-1.30730942198866,7.43904232716719,-7.09304075344538,3.07998481729229e-12,1.15470912270523e-09,17.3088577499275
"MASP1|5648",1.62979549163222,2.76583839123657,7.08349529286217,3.28538215147814e-12,1.19160239806288e-09,17.246958158609
"FOSB|2354",1.86271974010036,8.81101436677111,7.08301301748333,3.29610937473554e-12,1.19160239806288e-09,17.2438326636609
"KLF4|9314",1.09720438878676,8.95833251103103,7.07706602422626,3.43125035549404e-12,1.20696756123126e-09,17.2053070368754
"LOC572558|572558",1.04256434275951,0.924635123299216,7.07592275089078,3.45784729816808e-12,1.20696756123126e-09,17.1979039445469
"PLK1|5347",-1.16502832893024,8.44053351378225,-7.06280805275499,3.77781681424546e-12,1.29630341363389e-09,17.1130561470021
"CDCA8|55143",-0.942713919309246,8.26648415006787,-7.05114180377925,4.08677637797107e-12,1.37894646286707e-09,17.0376944772203
"AURKB|9212",-1.20813739291415,6.90139757488465,-7.04283767228928,4.32168595919325e-12,1.43430380727652e-09,16.9841175118759
"UBE2C|11065",-1.40416706984904,8.5048351144507,-7.03837787728009,4.45326925190006e-12,1.45413606459221e-09,16.9553663036236
"NUF2|83540",-1.29094623932212,7.5503017867358,-7.03093596895963,4.6816526921405e-12,1.50444537702197e-09,16.907425466965
"DEPDC1B|55789",-1.11417573086928,6.31275575772032,-7.02069274333564,5.014919684268e-12,1.58636014075009e-09,16.8415108049522
"RAD51|5888",-0.929647365374523,7.05939082958779,-7.01201237096109,5.31549376107247e-12,1.65557186450634e-09,16.7857186067383
"CCNA2|890",-0.987102760124424,8.39670557178163,-7.00669921518072,5.50812834623195e-12,1.6895766419616e-09,16.7515985422097
"AURKA|6790",-1.00133263150385,8.41408805811086,-6.99312034735711,6.0321447942074e-12,1.82269807998103e-09,16.6645001812947
"AQP7P3|441432",1.17140033471603,0.93660636627069,6.9848021416532,6.37701381248455e-12,1.8985683034375e-09,16.6112178915068
